Rxn name	Formula	Gene-reaction association	LB	UB	Objective
IDPh	h2o_c[c] + ppi_c[c]  -> h_c[c] + 2 pi_c[c] 	RTMO00131 or RTMO05104	  0.00	1000.00	  0.00
CAT	2 h2o2_c[c]  -> 2 h2o_c[c] + o2_c[c] 	RTMO03052 or RTMO04279 or RTMO03053	  0.00	1000.00	  0.00
MALHYDRO	h2o_c[c] + malt_c[c]  -> 2 glc__D_c[c] 	RTMO04728	  0.00	1000.00	  0.00
PPBNGS	2 5aop_c[c]  -> 2 h2o_c[c] + h_c[c] + ppbng_c[c] 	RTMO03022	  0.00	1000.00	  0.00
RBFSb	2 dmlz_c[c]  -> 4r5au_c[c] + ribflv_c[c] 	RTMO01076 or RTMO01074	  0.00	1000.00	  0.00
FERO	4 fe2_c[c] + 4 h_c[c] + o2_c[c]  -> 4 fe3_c[c] + 2 h2o_c[c] 	RTMO03707	  0.00	1000.00	  0.00
HMBS	h2o_c[c] + 4 ppbng_c[c]  -> hmbil_c[c] + 4 nh4_c[c] 	RTMO03024	  0.00	1000.00	  0.00
ATPM	atp_c[c] + h2o_c[c]  -> adp_c[c] + h_c[c] + pi_c[c] 	RTMO00197 or RTMO00196 or RTMO00193 or RTMO00194 or RTMO04075 or RTMO00373 or RTMO03395 or RTMO02535 or RTMO04972 or RTMO03714 or RTMO00200 or RTMO01034 or RTMO00201 or RTMO00199 or RTMO00198	  3.14	1000.00	  0.00
GLUSy	akg_c[c] + gln__L_c[c] + h_c[c] + nadph_c[c]  -> 2 glu__L_c[c] + nadp_c[c] 	RTMO00694 or RTMO01425 or RTMO01424	  0.00	1000.00	  0.00
ADK1	amp_c[c] + atp_c[c]  -> 2 adp_c[c] 	RTMO05248	  0.00	1000.00	  0.00
DPCOAK	atp_c[c] + dpcoa_c[c]  -> adp_c[c] + coa_c[c] + h_c[c] 	RTMO05022	  0.00	1000.00	  0.00
UREA	h2o_c[c] + 2 h_c[c] + urea_c[c]  -> co2_c[c] + 2 nh4_c[c] 	RTMO01680 or RTMO01679 or RTMO01678	  0.00	1000.00	  0.00
UMPK	atp_c[c] + ump_c[c]  -> adp_c[c] + udp_c[c] 	RTMO01021 or RTMO04555	  0.00	1000.00	  0.00
AFAT	atp_c[c] + fmn_c[c]  -> fad_c[c] + ppi_c[c] 	RTMO04541 or RTMO01896	  0.00	1000.00	  0.00
ADMDC	amet_c[c] + h_c[c]  -> ametam_c[c] + co2_c[c] 	RTMO05019	  0.00	1000.00	  0.00
